EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
100001,160.937,68.768,103.235,48.146,,,,3.4730000000000003,2.0780000000000003,125.15700000000001,0.879,1.4140000000000001,,42.013999999999996,2.039,-3.011,36.918,0.501,0.10300000000000001,44.70399999999999,-1.916,164.546,1,46.226000000000006,0.725,1.158,,,,46.226000000000006,2.23358448717,b
100386,138.817,52.853,105.09299999999999,50.353,,,,2.975,29.54,116.449,1.504,-0.44799999999999995,,21.993000000000002,1.93,0.484,33.078,-0.848,-0.58,42.922,-2.135,243.77,1,61.378,-1.801,1.5730000000000002,,,,61.378,2.81774478763,b
100495,154.513,16.939,94.13,61.315,,,,3.073,1.609,126.47200000000001,1.454,-0.085,,26.625999999999998,-0.256,-2.877,38.72,1.69,1.028,45.523,0.622,134.878,1,61.126999999999995,-2.4859999999999998,-2.1319999999999997,,,,61.126999999999995,0.0015027048310099999,s
100769,126.255,91.352,74.036,18.85,,,,3.032,18.85,72.361,2.252,0.62,,22.253,2.013,0.826,50.108999999999995,1.058,-2.051,42.04,0.894,91.37899999999999,0,,,,,,,0.0,2.2679390428999997,b
101166,165.918,101.71600000000001,91.94,0.529,,,,3.036,0.529,96.663,2.285,-1.304,,29.427,-2.391,-1.6440000000000001,67.236,-1.855,1.344,38.573,-1.902,46.918,0,,,,,,,-0.0,4.98689638226,b
101176,103.179,15.057,72.892,28.129,,,,3.205,28.129,56.68899999999999,1.5190000000000001,1.401,,22.500999999999998,-0.573,-1.8980000000000001,34.188,1.0,1.5919999999999999,13.122,2.319,155.31,0,,,,,,,0.0,0.018636116672000002,s
101513,85.068,41.78,49.926,25.324,,,,2.72,25.324,49.77,1.101,1.2990000000000002,,23.689,-1.8780000000000001,-1.6059999999999999,26.081,-1.3869999999999998,2.002,19.22,-1.876,81.476,0,,,,,,,0.0,1.68161144262,b
101872,84.084,3.063,63.373000000000005,78.492,,,,1.4580000000000002,22.096999999999998,173.77900000000002,0.95,1.158,,47.82899999999999,-0.428,2.395,45.422,-0.9009999999999999,1.016,7.519,1.182,231.356,1,80.527,-2.4819999999999998,-1.742,,,,80.527,1.4548484726800002,b
102005,96.223,15.104000000000001,66.36,48.79,,,,2.227,35.583,135.239,0.677,1.41,,41.251999999999995,0.315,-2.593,27.941999999999997,-0.627,1.672,10.96,2.565,215.054,1,66.045,-1.587,-0.81,,,,66.045,0.00150187015894,s
102245,135.32399999999998,73.119,98.036,46.986000000000004,,,,3.208,17.403,94.204,1.023,-0.722,,26.873,0.5870000000000001,2.524,27.502,-1.901,0.5,49.104,-2.845,127.18700000000001,1,39.829,-1.705,-0.68,,,,39.829,1.4548484726800002,b
